pdb_file,hydrophobicity_contacts
relaxed_2wmp_model_219_corrected_H_0001_2wmp,29
relaxed_2wmp_model_22_corrected_H_0001_2wmp,31
relaxed_2wmp_model_220_corrected_H_0001_2wmp,40
relaxed_2wmp_model_221_corrected_H_0001_2wmp,15
relaxed_2wmp_model_222_corrected_H_0001_2wmp,23
relaxed_2wmp_model_223_corrected_H_0001_2wmp,37
relaxed_2wmp_model_224_corrected_H_0001_2wmp,41
relaxed_2wmp_model_225_corrected_H_0001_2wmp,27
relaxed_2wmp_model_226_corrected_H_0001_2wmp,44
relaxed_2wmp_model_227_corrected_H_0001_2wmp,42
relaxed_2wmp_model_228_corrected_H_0001_2wmp,14
relaxed_2wmp_model_229_corrected_H_0001_2wmp,29
relaxed_2wmp_model_23_corrected_H_0001_2wmp,18
relaxed_2wmp_model_230_corrected_H_0001_2wmp,24
relaxed_2wmp_model_231_corrected_H_0001_2wmp,34
relaxed_2wmp_model_232_corrected_H_0001_2wmp,22
relaxed_2wmp_model_233_corrected_H_0001_2wmp,44
relaxed_2wmp_model_234_corrected_H_0001_2wmp,42
relaxed_2wmp_model_235_corrected_H_0001_2wmp,27
relaxed_2wmp_model_236_corrected_H_0001_2wmp,43
relaxed_2wmp_model_237_corrected_H_0001_2wmp,28
relaxed_2wmp_model_238_corrected_H_0001_2wmp,35
relaxed_2wmp_model_239_corrected_H_0001_2wmp,46
relaxed_2wmp_model_24_corrected_H_0001_2wmp,19
relaxed_2wmp_model_240_corrected_H_0001_2wmp,30
relaxed_2wmp_model_241_corrected_H_0001_2wmp,49
relaxed_2wmp_model_242_corrected_H_0001_2wmp,20
relaxed_2wmp_model_243_corrected_H_0001_2wmp,23
relaxed_2wmp_model_244_corrected_H_0001_2wmp,43
relaxed_2wmp_model_245_corrected_H_0001_2wmp,20
relaxed_2wmp_model_246_corrected_H_0001_2wmp,30
relaxed_2wmp_model_247_corrected_H_0001_2wmp,43
relaxed_2wmp_model_248_corrected_H_0001_2wmp,36
relaxed_2wmp_model_249_corrected_H_0001_2wmp,30
relaxed_2wmp_model_25_corrected_H_0001_2wmp,19
relaxed_2wmp_model_250_corrected_H_0001_2wmp,28
relaxed_2wmp_model_251_corrected_H_0001_2wmp,24
relaxed_2wmp_model_252_corrected_H_0001_2wmp,27
relaxed_2wmp_model_253_corrected_H_0001_2wmp,29
relaxed_2wmp_model_254_corrected_H_0001_2wmp,41
relaxed_2wmp_model_255_corrected_H_0001_2wmp,45
relaxed_2wmp_model_256_corrected_H_0001_2wmp,37
relaxed_2wmp_model_257_corrected_H_0001_2wmp,48
relaxed_2wmp_model_258_corrected_H_0001_2wmp,54
relaxed_2wmp_model_259_corrected_H_0001_2wmp,43
relaxed_2wmp_model_26_corrected_H_0001_2wmp,11
relaxed_2wmp_model_260_corrected_H_0001_2wmp,37
relaxed_2wmp_model_261_corrected_H_0001_2wmp,26
relaxed_2wmp_model_262_corrected_H_0001_2wmp,40
relaxed_2wmp_model_263_corrected_H_0001_2wmp,48
relaxed_2wmp_model_264_corrected_H_0001_2wmp,51
relaxed_2wmp_model_265_corrected_H_0001_2wmp,40
relaxed_2wmp_model_266_corrected_H_0001_2wmp,38
relaxed_2wmp_model_267_corrected_H_0001_2wmp,49
relaxed_2wmp_model_268_corrected_H_0001_2wmp,54
relaxed_2wmp_model_269_corrected_H_0001_2wmp,36
relaxed_2wmp_model_27_corrected_H_0001_2wmp,18
relaxed_2wmp_model_270_corrected_H_0001_2wmp,21
relaxed_2wmp_model_271_corrected_H_0001_2wmp,15
relaxed_2wmp_model_272_corrected_H_0001_2wmp,28
relaxed_2wmp_model_273_corrected_H_0001_2wmp,29
relaxed_2wmp_model_274_corrected_H_0001_2wmp,33
relaxed_2wmp_model_275_corrected_H_0001_2wmp,25
relaxed_2wmp_model_276_corrected_H_0001_2wmp,31
relaxed_2wmp_model_277_corrected_H_0001_2wmp,21
relaxed_2wmp_model_278_corrected_H_0001_2wmp,29
relaxed_2wmp_model_279_corrected_H_0001_2wmp,48
relaxed_2wmp_model_28_corrected_H_0001_2wmp,37
relaxed_2wmp_model_280_corrected_H_0001_2wmp,45
relaxed_2wmp_model_281_corrected_H_0001_2wmp,44
relaxed_2wmp_model_282_corrected_H_0001_2wmp,27
relaxed_2wmp_model_283_corrected_H_0001_2wmp,24
relaxed_2wmp_model_284_corrected_H_0001_2wmp,26
relaxed_2wmp_model_285_corrected_H_0001_2wmp,32
relaxed_2wmp_model_286_corrected_H_0001_2wmp,22
relaxed_2wmp_model_287_corrected_H_0001_2wmp,39
relaxed_2wmp_model_288_corrected_H_0001_2wmp,30
relaxed_2wmp_model_289_corrected_H_0001_2wmp,33
relaxed_2wmp_model_29_corrected_H_0001_2wmp,17
relaxed_2wmp_model_290_corrected_H_0001_2wmp,41
relaxed_2wmp_model_291_corrected_H_0001_2wmp,29
relaxed_2wmp_model_292_corrected_H_0001_2wmp,22
