pdb_file,hydrophobicity_contacts
relaxed_3ona_model_242_corrected_H_0001_3ona,22
relaxed_3ona_model_243_corrected_H_0001_3ona,15
relaxed_3ona_model_244_corrected_H_0001_3ona,25
relaxed_3ona_model_245_corrected_H_0001_3ona,20
relaxed_3ona_model_246_corrected_H_0001_3ona,21
relaxed_3ona_model_247_corrected_H_0001_3ona,27
relaxed_3ona_model_248_corrected_H_0001_3ona,16
relaxed_3ona_model_249_corrected_H_0001_3ona,17
relaxed_3ona_model_25_corrected_H_0001_3ona,20
relaxed_3ona_model_250_corrected_H_0001_3ona,19
relaxed_3ona_model_251_corrected_H_0001_3ona,25
relaxed_3ona_model_252_corrected_H_0001_3ona,22
relaxed_3ona_model_253_corrected_H_0001_3ona,16
relaxed_3ona_model_254_corrected_H_0001_3ona,33
relaxed_3ona_model_255_corrected_H_0001_3ona,34
relaxed_3ona_model_256_corrected_H_0001_3ona,23
relaxed_3ona_model_257_corrected_H_0001_3ona,32
relaxed_3ona_model_258_corrected_H_0001_3ona,14
relaxed_3ona_model_259_corrected_H_0001_3ona,32
relaxed_3ona_model_26_corrected_H_0001_3ona,12
relaxed_3ona_model_260_corrected_H_0001_3ona,19
relaxed_3ona_model_261_corrected_H_0001_3ona,21
relaxed_3ona_model_262_corrected_H_0001_3ona,16
relaxed_3ona_model_263_corrected_H_0001_3ona,36
relaxed_3ona_model_264_corrected_H_0001_3ona,20
relaxed_3ona_model_265_corrected_H_0001_3ona,22
relaxed_3ona_model_266_corrected_H_0001_3ona,30
relaxed_3ona_model_267_corrected_H_0001_3ona,14
relaxed_3ona_model_268_corrected_H_0001_3ona,12
relaxed_3ona_model_269_corrected_H_0001_3ona,24
relaxed_3ona_model_27_corrected_H_0001_3ona,29
relaxed_3ona_model_270_corrected_H_0001_3ona,18
relaxed_3ona_model_271_corrected_H_0001_3ona,11
relaxed_3ona_model_272_corrected_H_0001_3ona,28
relaxed_3ona_model_273_corrected_H_0001_3ona,17
relaxed_3ona_model_274_corrected_H_0001_3ona,19
relaxed_3ona_model_275_corrected_H_0001_3ona,18
relaxed_3ona_model_276_corrected_H_0001_3ona,13
relaxed_3ona_model_277_corrected_H_0001_3ona,22
relaxed_3ona_model_278_corrected_H_0001_3ona,17
relaxed_3ona_model_279_corrected_H_0001_3ona,13
relaxed_3ona_model_28_corrected_H_0001_3ona,20
relaxed_3ona_model_280_corrected_H_0001_3ona,20
relaxed_3ona_model_281_corrected_H_0001_3ona,12
relaxed_3ona_model_282_corrected_H_0001_3ona,22
relaxed_3ona_model_283_corrected_H_0001_3ona,39
relaxed_3ona_model_284_corrected_H_0001_3ona,17
relaxed_3ona_model_285_corrected_H_0001_3ona,26
relaxed_3ona_model_286_corrected_H_0001_3ona,20
relaxed_3ona_model_287_corrected_H_0001_3ona,7
relaxed_3ona_model_288_corrected_H_0001_3ona,14
relaxed_3ona_model_289_corrected_H_0001_3ona,19
relaxed_3ona_model_29_corrected_H_0001_3ona,13
relaxed_3ona_model_290_corrected_H_0001_3ona,16
relaxed_3ona_model_291_corrected_H_0001_3ona,20
relaxed_3ona_model_292_corrected_H_0001_3ona,11
relaxed_3ona_model_293_corrected_H_0001_3ona,13
relaxed_3ona_model_294_corrected_H_0001_3ona,15
relaxed_3ona_model_295_corrected_H_0001_3ona,15
relaxed_3ona_model_296_corrected_H_0001_3ona,16
relaxed_3ona_model_297_corrected_H_0001_3ona,32
relaxed_3ona_model_298_corrected_H_0001_3ona,7
relaxed_3ona_model_299_corrected_H_0001_3ona,20
relaxed_3ona_model_3_corrected_H_0001_3ona,13
relaxed_3ona_model_30_corrected_H_0001_3ona,14
relaxed_3ona_model_300_corrected_H_0001_3ona,35
relaxed_3ona_model_301_corrected_H_0001_3ona,22
relaxed_3ona_model_302_corrected_H_0001_3ona,20
relaxed_3ona_model_303_corrected_H_0001_3ona,19
relaxed_3ona_model_304_corrected_H_0001_3ona,14
