pdb_file,bsa
complex.0_0_29_corrected_H_0001,1046.4317528398933
complex.0_0_2_corrected_H_0001,879.8814331719095
complex.0_0_32_corrected_H_0001,689.8899883291488
complex.0_0_35_corrected_H_0001,812.3060851986684
complex.0_0_36_corrected_H_0001,668.4921377651153
complex.0_0_3_corrected_H_0001,494.21587383143196
complex.0_0_45_corrected_H_0001,654.6834593277381
complex.0_0_4_corrected_H_0001,725.6397100962986
complex.0_10_31_corrected_H_0001,1182.8636099484174
complex.0_10_41_corrected_H_0001,1367.7464584872178
complex.0_10_42_corrected_H_0001,1615.1956102265613
complex.0_10_5_corrected_H_0001,1156.377760800684
complex.0_11_22_corrected_H_0001,996.0903163561234
complex.0_11_27_corrected_H_0001,1119.891569559004
complex.0_11_33_corrected_H_0001,1066.6121807611853
complex.0_11_46_corrected_H_0001,1050.849329921184
complex.0_11_6_corrected_H_0001,1532.1892663249255
complex.0_12_1_corrected_H_0001,1348.7799378601085
complex.0_12_39_corrected_H_0001,1410.0056202363885
complex.0_12_4_corrected_H_0001,1425.2950950424547
complex.0_12_6_corrected_H_0001,1621.6113581163627
complex.0_13_13_corrected_H_0001,1351.363576367752
complex.0_13_21_corrected_H_0001,1165.7086405749105
complex.0_13_24_corrected_H_0001,1224.6729359458368
complex.0_13_27_corrected_H_0001,1040.384704414726
complex.0_13_29_corrected_H_0001,1141.5424129382827
complex.0_13_37_corrected_H_0001,1596.1009019601915
complex.0_13_41_corrected_H_0001,1192.2983615683333
complex.0_13_46_corrected_H_0001,1012.0557241594106
complex.0_13_48_corrected_H_0001,1120.0658277302464
complex.0_14_23_corrected_H_0001,1551.8123235870444
complex.0_14_25_corrected_H_0001,1429.4650149686313
complex.0_14_30_corrected_H_0001,1104.2601346903502
complex.0_15_20_corrected_H_0001,1190.3228684008918
complex.0_15_25_corrected_H_0001,1108.9041899550593
complex.0_15_31_corrected_H_0001,1510.4009086983406
complex.0_15_40_corrected_H_0001,1197.6724598840883
complex.0_15_6_corrected_H_0001,1305.0834781131034
complex.0_15_9_corrected_H_0001,1557.7203681714782
complex.0_16_12_corrected_H_0001,1460.591660689186
complex.0_16_17_corrected_H_0001,1302.5257582422346
complex.0_16_31_corrected_H_0001,1120.3291273740706
complex.0_16_34_corrected_H_0001,1487.3671765811032
complex.0_16_42_corrected_H_0001,1221.0243254923553
complex.0_16_46_corrected_H_0001,1530.0108358207162
complex.0_16_4_corrected_H_0001,1583.8253691793361
complex.0_16_6_corrected_H_0001,1212.7235151600635
complex.0_17_23_corrected_H_0001,1554.8439206619933
complex.0_17_2_corrected_H_0001,1574.5515442024262
complex.0_17_39_corrected_H_0001,1464.2295299299858
complex.0_17_8_corrected_H_0001,1409.0264407054474
complex.0_18_15_corrected_H_0001,1482.1300097836538
complex.0_18_16_corrected_H_0001,1513.966281517005
complex.0_18_19_corrected_H_0001,1376.777943630761
complex.0_18_25_corrected_H_0001,1277.0100732908504
complex.0_18_27_corrected_H_0001,1320.7336917798366
complex.0_18_32_corrected_H_0001,1400.5262816623326
complex.0_18_40_corrected_H_0001,1432.8204107453985
complex.0_19_4_corrected_H_0001,1392.2369494634859
complex.0_1_0_corrected_H_0001,711.3404988955281
complex.0_1_11_corrected_H_0001,1304.5001054342301
complex.0_1_17_corrected_H_0001,737.6096122926992
complex.0_1_5_corrected_H_0001,1050.1340867161052
complex.0_2_11_corrected_H_0001,1409.8918356129343
complex.0_2_31_corrected_H_0001,1093.1637739595863
complex.0_2_39_corrected_H_0001,715.7931512536215
complex.0_2_45_corrected_H_0001,1269.865766070874
complex.0_2_6_corrected_H_0001,1057.279706408961
complex.0_3_24_corrected_H_0001,1085.3488563605606
complex.0_3_33_corrected_H_0001,1081.922724890277
complex.0_3_40_corrected_H_0001,1440.9411285491406
complex.0_3_47_corrected_H_0001,913.278036950147
complex.0_3_7_corrected_H_0001,915.7129508709186
complex.0_4_1_corrected_H_0001,974.3374984209513
complex.0_4_2_corrected_H_0001,866.5024544152075
complex.0_4_33_corrected_H_0001,872.9608667041502
complex.0_4_48_corrected_H_0001,1044.8538172074823
complex.0_4_49_corrected_H_0001,1110.5905823554858
complex.0_4_6_corrected_H_0001,1191.0209273214678
complex.0_5_46_corrected_H_0001,1340.4132120309732
complex.0_5_47_corrected_H_0001,1220.6345031643195
complex.0_5_8_corrected_H_0001,1338.7685271449518
complex.0_6_19_corrected_H_0001,1291.5513287844715
complex.0_6_33_corrected_H_0001,1272.5828465429568
complex.0_6_6_corrected_H_0001,1037.9817807734653
complex.0_7_18_corrected_H_0001,1045.3290211418698
complex.0_7_1_corrected_H_0001,1576.6956140484308
complex.0_7_49_corrected_H_0001,969.2542943381541
complex.0_8_21_corrected_H_0001,1186.466347346408
complex.0_8_25_corrected_H_0001,1191.8539222828385
complex.0_8_3_corrected_H_0001,1080.7164622659748
complex.0_8_43_corrected_H_0001,1310.5928765922945
complex.0_9_14_corrected_H_0001,1031.7059694999698
complex.0_9_15_corrected_H_0001,935.1586126719467
complex.0_9_19_corrected_H_0001,892.0739552367959
complex.0_9_21_corrected_H_0001,1476.1475507160922
complex.0_9_36_corrected_H_0001,1459.5819757933514
complex.0_9_42_corrected_H_0001,1549.6291541550436
complex.0_9_7_corrected_H_0001,908.7783587808608
complex.1_0_14_corrected_H_0001,723.4504822297113
complex.1_0_20_corrected_H_0001,1186.3121439255956
complex.1_0_21_corrected_H_0001,571.7724384068933
complex.1_0_47_corrected_H_0001,1175.7782775849137
complex.1_10_11_corrected_H_0001,1100.903226515884
complex.1_10_14_corrected_H_0001,1496.1056717677657
complex.1_10_16_corrected_H_0001,1212.1210064800143
complex.1_10_17_corrected_H_0001,1620.9201174224054
complex.1_10_28_corrected_H_0001,1193.8864952110616
complex.1_10_32_corrected_H_0001,1190.1610421528567
complex.1_10_6_corrected_H_0001,1039.319461623265
complex.1_11_26_corrected_H_0001,1648.9671864415632
complex.1_11_37_corrected_H_0001,1102.9615322921982
complex.1_11_39_corrected_H_0001,1121.0377716131716
complex.1_11_3_corrected_H_0001,1522.2406057439457
complex.1_12_17_corrected_H_0001,1175.8160474301676
complex.1_12_22_corrected_H_0001,1167.0392909457769
complex.1_12_26_corrected_H_0001,1375.817409068568
complex.1_12_28_corrected_H_0001,1501.3810405784116
complex.1_12_32_corrected_H_0001,1526.1692039948412
complex.1_12_35_corrected_H_0001,1250.926703285706
complex.1_12_3_corrected_H_0001,1384.2254753545694
complex.1_12_47_corrected_H_0001,1381.8139450856852
complex.1_12_49_corrected_H_0001,1032.6855405694623
complex.1_13_0_corrected_H_0001,1193.4839760328287
complex.1_13_15_corrected_H_0001,1126.406988546467
complex.1_13_26_corrected_H_0001,1182.410076971837
complex.1_13_8_corrected_H_0001,1252.9452067611983
complex.1_14_10_corrected_H_0001,1512.0491473363236
complex.1_14_18_corrected_H_0001,1399.0368262127595
complex.1_14_20_corrected_H_0001,1476.6864579618104
complex.1_14_24_corrected_H_0001,1225.9022526957833
complex.1_14_32_corrected_H_0001,1543.6740396722635
complex.1_14_39_corrected_H_0001,1099.5600940466356
complex.1_14_43_corrected_H_0001,1506.24323946376
complex.1_14_8_corrected_H_0001,1239.9920523107667
complex.1_15_14_corrected_H_0001,1465.187630978966
complex.1_15_24_corrected_H_0001,1498.1091495374676
complex.1_15_36_corrected_H_0001,1618.2979805799696
complex.1_15_39_corrected_H_0001,1243.7251982579019
complex.1_15_45_corrected_H_0001,1157.4698325506888
complex.1_15_47_corrected_H_0001,1278.6849149128102
complex.1_15_8_corrected_H_0001,1623.155999056713
complex.1_16_11_corrected_H_0001,1555.6879487386923
complex.1_16_14_corrected_H_0001,1329.9171527697436
complex.1_16_21_corrected_H_0001,1336.11439464855
complex.1_16_23_corrected_H_0001,1599.359646135752
complex.1_16_40_corrected_H_0001,1321.6154288922662
complex.1_16_7_corrected_H_0001,1394.8235060886163
complex.1_17_14_corrected_H_0001,1313.255121659813
complex.1_17_20_corrected_H_0001,1548.3366230112752
complex.1_17_26_corrected_H_0001,1346.62257970282
complex.1_17_27_corrected_H_0001,1523.671885923728
complex.1_17_36_corrected_H_0001,1372.483303011073
complex.1_17_37_corrected_H_0001,1516.6181950568262
complex.1_17_41_corrected_H_0001,1290.4729087818596
complex.1_17_47_corrected_H_0001,1435.0814551298463
complex.1_18_13_corrected_H_0001,1409.16087679854
complex.1_18_31_corrected_H_0001,1554.9297771142865
complex.1_1_1_corrected_H_0001,1130.738425227286
complex.1_1_28_corrected_H_0001,988.6654285860204
complex.1_1_40_corrected_H_0001,1123.498088528433
complex.1_1_46_corrected_H_0001,1297.0934984201558
complex.1_1_49_corrected_H_0001,896.101314271873
complex.1_1_7_corrected_H_0001,900.8372484291685
complex.1_2_26_corrected_H_0001,1201.1944753419102
complex.1_2_27_corrected_H_0001,963.1270862081346
complex.1_2_30_corrected_H_0001,1215.5674970774817
complex.1_2_32_corrected_H_0001,1155.1567813113743
complex.1_2_33_corrected_H_0001,1271.1802858999436
complex.1_2_7_corrected_H_0001,1307.2622568809475
complex.1_2_9_corrected_H_0001,1062.8793957529197
complex.1_3_10_corrected_H_0001,788.7528373230834
complex.1_3_20_corrected_H_0001,882.8265317449022
complex.1_3_27_corrected_H_0001,1034.4983221018338
complex.1_3_32_corrected_H_0001,1054.5201872497219
complex.1_3_43_corrected_H_0001,958.5291301561356
complex.1_3_6_corrected_H_0001,1021.5468261899041
complex.1_3_8_corrected_H_0001,1198.5508047199764
complex.1_4_27_corrected_H_0001,964.9141020787101
complex.1_4_28_corrected_H_0001,1137.3933780191874
complex.1_5_13_corrected_H_0001,1073.7095826824661
complex.1_5_1_corrected_H_0001,1436.4469877397387
complex.1_5_41_corrected_H_0001,1246.8049567935504
complex.1_5_6_corrected_H_0001,1443.6732861927158
complex.1_5_9_corrected_H_0001,1390.0061204066915
complex.1_6_21_corrected_H_0001,1133.0825796481313
complex.1_6_27_corrected_H_0001,1020.0342748599087
complex.1_6_28_corrected_H_0001,1153.2122443324552
complex.1_6_46_corrected_H_0001,1606.8476486256022
complex.1_6_8_corrected_H_0001,1263.6599521942917
complex.1_7_15_corrected_H_0001,1102.5369055066512
complex.1_7_19_corrected_H_0001,1291.7134115148583
complex.1_7_20_corrected_H_0001,1193.0286602400283
complex.1_7_33_corrected_H_0001,950.8168353452802
complex.1_7_35_corrected_H_0001,1131.7752469935876
complex.1_7_36_corrected_H_0001,737.8454531385469
complex.1_7_40_corrected_H_0001,1380.3744017850458
complex.1_7_46_corrected_H_0001,905.4210648139269
complex.1_8_19_corrected_H_0001,1224.9149305083665
complex.1_8_20_corrected_H_0001,1456.1849167927558
complex.1_8_45_corrected_H_0001,1226.2494765315787
complex.1_8_49_corrected_H_0001,1327.3657361291316
complex.1_9_10_corrected_H_0001,1341.749824753997
complex.1_9_43_corrected_H_0001,925.2730960485969
complex.1_9_46_corrected_H_0001,1160.616126674031
complex.1_9_6_corrected_H_0001,1223.6587351511153
complex.1_9_8_corrected_H_0001,1161.9191302550717
complex.2_0_18_corrected_H_0001,940.2194376313673
complex.2_0_30_corrected_H_0001,757.8284978816755
complex.2_10_1_corrected_H_0001,1603.2824155401104
complex.2_10_26_corrected_H_0001,1410.0502337264697
complex.2_10_37_corrected_H_0001,925.9949205598532
complex.2_10_40_corrected_H_0001,1051.6791108254147
complex.2_11_18_corrected_H_0001,1206.0888819613629
complex.2_11_19_corrected_H_0001,1162.7398070233648
complex.2_11_1_corrected_H_0001,1096.9393785158554
complex.2_11_2_corrected_H_0001,1225.934432124861
complex.2_11_44_corrected_H_0001,1429.7297897032076
complex.2_12_15_corrected_H_0001,1277.3419594183324
complex.2_12_20_corrected_H_0001,1240.5082426514873
complex.2_12_29_corrected_H_0001,1510.7273477130948
complex.2_12_37_corrected_H_0001,1097.0088239317665
complex.2_12_38_corrected_H_0001,1583.6952682623669
complex.2_12_40_corrected_H_0001,1401.4706892597733
complex.2_12_41_corrected_H_0001,1323.82900226299
complex.2_13_11_corrected_H_0001,1145.6884048250868
complex.2_13_16_corrected_H_0001,1134.3330229448857
complex.2_13_25_corrected_H_0001,1281.1284884088564
complex.2_13_32_corrected_H_0001,1502.512439966653
complex.2_14_14_corrected_H_0001,1305.5544117317459
complex.2_14_16_corrected_H_0001,1475.6150886421492
complex.2_14_28_corrected_H_0001,1211.2518295346454
complex.2_15_10_corrected_H_0001,1539.4488612305868
complex.2_15_1_corrected_H_0001,1287.978894639371
complex.2_15_35_corrected_H_0001,1523.8074386994886
complex.2_15_38_corrected_H_0001,1218.4352833014254
complex.2_15_44_corrected_H_0001,1338.2772871528214
complex.2_15_5_corrected_H_0001,1378.6212098129217
complex.2_16_19_corrected_H_0001,1533.0526569787526
complex.2_16_30_corrected_H_0001,1352.9859713534788
complex.2_17_25_corrected_H_0001,1246.6088145005942
complex.2_17_30_corrected_H_0001,1430.3096714399107
complex.2_17_32_corrected_H_0001,1240.2207768961725
complex.2_17_42_corrected_H_0001,1458.7407017637324
complex.2_17_49_corrected_H_0001,1508.416275209609
complex.2_18_28_corrected_H_0001,1371.6039850621764
complex.2_18_36_corrected_H_0001,1381.6160975684888
complex.2_18_39_corrected_H_0001,1319.9225023646086
complex.2_18_44_corrected_H_0001,1366.7245800983728
complex.2_18_49_corrected_H_0001,1321.8309696342349
complex.2_18_4_corrected_H_0001,1393.0213269114302
complex.2_1_12_corrected_H_0001,791.4175018173592
complex.2_1_13_corrected_H_0001,1288.5883989588656
complex.2_1_22_corrected_H_0001,876.5223541880678
complex.2_1_30_corrected_H_0001,1330.2439228347084
complex.2_1_45_corrected_H_0001,819.2571233987801
complex.2_1_47_corrected_H_0001,622.2943820499422
complex.2_2_19_corrected_H_0001,1246.828820823006
complex.2_2_20_corrected_H_0001,910.6992890368383
complex.2_2_2_corrected_H_0001,907.8480694739228
complex.2_2_35_corrected_H_0001,1081.7799145254448
complex.2_2_43_corrected_H_0001,1127.9857228100755
complex.2_2_44_corrected_H_0001,1068.582505985145
complex.2_2_47_corrected_H_0001,1146.2429889372997
complex.2_2_8_corrected_H_0001,954.1197054441109
complex.2_3_11_corrected_H_0001,979.6969180210363
complex.2_3_18_corrected_H_0001,857.2330745566524
complex.2_3_1_corrected_H_0001,1237.6188312930408
complex.2_3_37_corrected_H_0001,906.3472686393307
complex.2_3_3_corrected_H_0001,1122.152976005802
complex.2_4_10_corrected_H_0001,914.7023232393167
complex.2_4_26_corrected_H_0001,1160.0218516718523
complex.2_4_34_corrected_H_0001,1125.4335993258974
complex.2_4_40_corrected_H_0001,1088.0111202282278
complex.2_5_24_corrected_H_0001,1150.9235550977173
complex.2_5_26_corrected_H_0001,1281.344198464998
complex.2_5_33_corrected_H_0001,1206.7769223435407
complex.2_5_43_corrected_H_0001,1617.6722739831694
complex.2_5_5_corrected_H_0001,1229.2432209530216
complex.2_6_34_corrected_H_0001,1078.46249441299
complex.2_6_35_corrected_H_0001,1343.510255580617
complex.2_6_40_corrected_H_0001,944.4563100610703
complex.2_6_47_corrected_H_0001,1179.2656805040606
complex.2_7_10_corrected_H_0001,1180.7236577863587
complex.2_7_13_corrected_H_0001,1383.0368098163344
complex.2_7_21_corrected_H_0001,1348.3576116619115
complex.2_7_39_corrected_H_0001,1514.0107477315014
complex.2_7_5_corrected_H_0001,993.0810495765145
complex.2_7_9_corrected_H_0001,1074.126303877123
complex.2_8_2_corrected_H_0001,1123.562959298608
complex.2_8_30_corrected_H_0001,1104.424796121495
complex.2_8_37_corrected_H_0001,1440.3161636695222
complex.2_8_46_corrected_H_0001,1063.9608684253526
complex.2_9_23_corrected_H_0001,1346.8090029893046
complex.2_9_26_corrected_H_0001,1236.8348988023627
complex.2_9_27_corrected_H_0001,1158.2979604309257
complex.2_9_33_corrected_H_0001,1273.097231484362
complex.2_9_38_corrected_H_0001,1424.2086717628008
complex.3_0_25_corrected_H_0001,704.7839117403637
complex.3_0_26_corrected_H_0001,584.9390393593931
complex.3_0_34_corrected_H_0001,715.491165864818
complex.3_0_9_corrected_H_0001,717.4371035736949
complex.3_10_20_corrected_H_0001,1492.2268866672093
complex.3_10_21_corrected_H_0001,1529.7318478210345
complex.3_10_49_corrected_H_0001,1403.4469211038995
complex.3_10_4_corrected_H_0001,1268.444618802967
complex.3_10_8_corrected_H_0001,1220.576986446391
complex.3_10_9_corrected_H_0001,1263.8668596286425
complex.3_11_23_corrected_H_0001,1300.6152183034083
complex.3_11_25_corrected_H_0001,1322.1817811351175
complex.3_11_28_corrected_H_0001,1042.7460058990528
complex.3_11_36_corrected_H_0001,1371.4563682373064
