pdb_file,interface_flatness
relaxed_3qc8_model_1_corrected_H_0001_3qc8,0.9926793557833088
relaxed_3qc8_model_10_corrected_H_0001_3qc8,0.9865788189360664
relaxed_3qc8_model_100_corrected_H_0001_3qc8,0.9919472913616398
relaxed_3qc8_model_101_corrected_H_0001_3qc8,0.9926793557833088
relaxed_3qc8_model_102_corrected_H_0001_3qc8,0.9846266471449489
relaxed_3qc8_model_103_corrected_H_0001_3qc8,0.9890190336749634
relaxed_3qc8_model_104_corrected_H_0001_3qc8,0.9880429477794046
relaxed_3qc8_model_105_corrected_H_0001_3qc8,0.9846266471449489
relaxed_3qc8_model_106_corrected_H_0001_3qc8,0.9880429477794046
relaxed_3qc8_model_107_corrected_H_0001_3qc8,0.985358711566618
relaxed_3qc8_model_108_corrected_H_0001_3qc8,0.9907271839921912
relaxed_3qc8_model_109_corrected_H_0001_3qc8,0.9870668618838456
relaxed_3qc8_model_11_corrected_H_0001_3qc8,0.995119570522206
relaxed_3qc8_model_110_corrected_H_0001_3qc8,0.9838945827232796
relaxed_3qc8_model_111_corrected_H_0001_3qc8,0.99170326988775
relaxed_3qc8_model_112_corrected_H_0001_3qc8,0.9726695949243532
relaxed_3qc8_model_113_corrected_H_0001_3qc8,0.9960956564177648
relaxed_3qc8_model_114_corrected_H_0001_3qc8,0.9931673987310884
relaxed_3qc8_model_115_corrected_H_0001_3qc8,0.9846266471449489
relaxed_3qc8_model_116_corrected_H_0001_3qc8,0.9914592484138604
relaxed_3qc8_model_117_corrected_H_0001_3qc8,0.9731576378721328
relaxed_3qc8_model_118_corrected_H_0001_3qc8,0.9912152269399708
relaxed_3qc8_model_119_corrected_H_0001_3qc8,0.9897510980966324
relaxed_3qc8_model_12_corrected_H_0001_3qc8,0.9897510980966324
relaxed_3qc8_model_120_corrected_H_0001_3qc8,0.9919472913616398
relaxed_3qc8_model_121_corrected_H_0001_3qc8,0.9880429477794046
relaxed_3qc8_model_122_corrected_H_0001_3qc8,0.9834065397755004
relaxed_3qc8_model_123_corrected_H_0001_3qc8,0.9890190336749634
relaxed_3qc8_model_124_corrected_H_0001_3qc8,0.968033186920449
relaxed_3qc8_model_125_corrected_H_0001_3qc8,0.9773060029282576
relaxed_3qc8_model_126_corrected_H_0001_3qc8,0.9809663250366032
relaxed_3qc8_model_127_corrected_H_0001_3qc8,0.9816983894582724
relaxed_3qc8_model_128_corrected_H_0001_3qc8,0.986822840409956
relaxed_3qc8_model_129_corrected_H_0001_3qc8,0.9873108833577356
relaxed_3qc8_model_13_corrected_H_0001_3qc8,0.9858467545143972
relaxed_3qc8_model_130_corrected_H_0001_3qc8,0.9892630551488532
relaxed_3qc8_model_131_corrected_H_0001_3qc8,0.9829184968277208
relaxed_3qc8_model_132_corrected_H_0001_3qc8,0.9882869692532944
relaxed_3qc8_model_133_corrected_H_0001_3qc8,0.9848706686188384
relaxed_3qc8_model_134_corrected_H_0001_3qc8,0.9797462176671548
relaxed_3qc8_model_135_corrected_H_0001_3qc8,0.9919472913616398
relaxed_3qc8_model_136_corrected_H_0001_3qc8,0.9887750122010736
relaxed_3qc8_model_137_corrected_H_0001_3qc8,0.9865788189360664
relaxed_3qc8_model_138_corrected_H_0001_3qc8,0.9780380673499268
relaxed_3qc8_model_139_corrected_H_0001_3qc8,0.9829184968277208
relaxed_3qc8_model_14_corrected_H_0001_3qc8,0.9907271839921912
relaxed_3qc8_model_140_corrected_H_0001_3qc8,0.9814543679843828
relaxed_3qc8_model_141_corrected_H_0001_3qc8,0.9941434846266471
relaxed_3qc8_model_142_corrected_H_0001_3qc8,0.9870668618838456
relaxed_3qc8_model_143_corrected_H_0001_3qc8,0.9863347974621768
relaxed_3qc8_model_144_corrected_H_0001_3qc8,0.9865788189360664
relaxed_3qc8_model_145_corrected_H_0001_3qc8,0.9890190336749634
relaxed_3qc8_model_146_corrected_H_0001_3qc8,0.9914592484138604
relaxed_3qc8_model_147_corrected_H_0001_3qc8,0.9719375305026844
relaxed_3qc8_model_148_corrected_H_0001_3qc8,0.9748657881893606
relaxed_3qc8_model_149_corrected_H_0001_3qc8,0.990239141044412
relaxed_3qc8_model_15_corrected_H_0001_3qc8,0.9865788189360664
relaxed_3qc8_model_150_corrected_H_0001_3qc8,0.9812103465104928
relaxed_3qc8_model_151_corrected_H_0001_3qc8,0.997559785261103
relaxed_3qc8_model_152_corrected_H_0001_3qc8,0.9736456808199122
relaxed_3qc8_model_153_corrected_H_0001_3qc8,0.9899951195705222
relaxed_3qc8_model_154_corrected_H_0001_3qc8,0.993411420204978
relaxed_3qc8_model_155_corrected_H_0001_3qc8,0.9941434846266471
relaxed_3qc8_model_156_corrected_H_0001_3qc8,0.9846266471449489
relaxed_3qc8_model_157_corrected_H_0001_3qc8,0.9914592484138604
relaxed_3qc8_model_158_corrected_H_0001_3qc8,0.9834065397755004
relaxed_3qc8_model_159_corrected_H_0001_3qc8,0.9763299170326988
relaxed_3qc8_model_16_corrected_H_0001_3qc8,0.9873108833577356
relaxed_3qc8_model_160_corrected_H_0001_3qc8,0.985114690092728
relaxed_3qc8_model_161_corrected_H_0001_3qc8,0.9812103465104928
relaxed_3qc8_model_162_corrected_H_0001_3qc8,0.9921913128355296
relaxed_3qc8_model_163_corrected_H_0001_3qc8,0.990971205466081
relaxed_3qc8_model_164_corrected_H_0001_3qc8,0.9880429477794046
relaxed_3qc8_model_165_corrected_H_0001_3qc8,0.990971205466081
relaxed_3qc8_model_166_corrected_H_0001_3qc8,0.9841386041971694
relaxed_3qc8_model_167_corrected_H_0001_3qc8,0.9875549048316252
relaxed_3qc8_model_168_corrected_H_0001_3qc8,0.9899951195705222
relaxed_3qc8_model_169_corrected_H_0001_3qc8,0.984382625671059
relaxed_3qc8_model_17_corrected_H_0001_3qc8,0.9921913128355296
relaxed_3qc8_model_170_corrected_H_0001_3qc8,0.9865788189360664
relaxed_3qc8_model_171_corrected_H_0001_3qc8,0.9809663250366032
relaxed_3qc8_model_172_corrected_H_0001_3qc8,0.9873108833577356
relaxed_3qc8_model_173_corrected_H_0001_3qc8,0.9895070766227428
relaxed_3qc8_model_174_corrected_H_0001_3qc8,0.9892630551488532
relaxed_3qc8_model_175_corrected_H_0001_3qc8,0.9841386041971694
relaxed_3qc8_model_176_corrected_H_0001_3qc8,0.9914592484138604
relaxed_3qc8_model_177_corrected_H_0001_3qc8,0.986090775988287
relaxed_3qc8_model_178_corrected_H_0001_3qc8,0.990971205466081
relaxed_3qc8_model_179_corrected_H_0001_3qc8,0.9926793557833088
