pdb_file,interface_flatness
complex.0_0_39_corrected_H_0001_1r8o,0.9228383094222566
complex.0_0_3_corrected_H_0001_1r8o,0.960449786739046
complex.0_0_41_corrected_H_0001_1r8o,0.9724699495928656
complex.0_0_48_corrected_H_0001_1r8o,0.941062427297402
complex.0_0_7_corrected_H_0001_1r8o,0.9131446297014346
complex.0_10_17_corrected_H_0001_1r8o,0.8394726638231873
complex.0_10_22_corrected_H_0001_1r8o,0.833656455990694
complex.0_10_26_corrected_H_0001_1r8o,0.830554478480031
complex.0_10_49_corrected_H_0001_1r8o,0.8495540907328422
complex.0_10_9_corrected_H_0001_1r8o,0.8464521132221792
complex.0_11_15_corrected_H_0001_1r8o,0.843737882900349
complex.0_11_23_corrected_H_0001_1r8o,0.846839860411012
complex.0_11_36_corrected_H_0001_1r8o,0.8321054672353625
complex.0_11_41_corrected_H_0001_1r8o,0.843737882900349
complex.0_11_44_corrected_H_0001_1r8o,0.843737882900349
complex.0_11_47_corrected_H_0001_1r8o,0.834044203179527
complex.0_11_4_corrected_H_0001_1r8o,0.8321054672353625
complex.0_12_10_corrected_H_0001_1r8o,0.8344319503683598
complex.0_12_15_corrected_H_0001_1r8o,0.8348196975571928
complex.0_12_16_corrected_H_0001_1r8o,0.8177588212485459
complex.0_12_22_corrected_H_0001_1r8o,0.8414113997673517
complex.0_13_17_corrected_H_0001_1r8o,0.8290034897246995
complex.0_13_21_corrected_H_0001_1r8o,0.830554478480031
complex.0_13_24_corrected_H_0001_1r8o,0.8491663435440093
complex.0_13_29_corrected_H_0001_1r8o,0.8449011244668476
complex.0_13_34_corrected_H_0001_1r8o,0.8379216750678558
complex.0_13_35_corrected_H_0001_1r8o,0.8483908491663436
complex.0_14_13_corrected_H_0001_1r8o,0.8290034897246995
complex.0_14_17_corrected_H_0001_1r8o,0.8321054672353625
complex.0_14_31_corrected_H_0001_1r8o,0.8321054672353625
complex.0_14_40_corrected_H_0001_1r8o,0.8363706863125242
complex.0_14_43_corrected_H_0001_1r8o,0.8173710740597131
complex.0_14_4_corrected_H_0001_1r8o,0.8352074447460256
complex.0_15_18_corrected_H_0001_1r8o,0.8406359053896859
complex.0_15_20_corrected_H_0001_1r8o,0.8363706863125242
complex.0_15_22_corrected_H_0001_1r8o,0.8355951919348584
complex.0_15_34_corrected_H_0001_1r8o,0.8290034897246995
complex.0_15_37_corrected_H_0001_1r8o,0.8131058549825514
complex.0_15_4_corrected_H_0001_1r8o,0.8286157425358666
complex.0_16_14_corrected_H_0001_1r8o,0.8352074447460256
complex.0_16_17_corrected_H_0001_1r8o,0.8363706863125242
complex.0_16_20_corrected_H_0001_1r8o,0.8313299728576968
complex.0_16_21_corrected_H_0001_1r8o,0.8328809616130283
complex.0_16_22_corrected_H_0001_1r8o,0.8259015122140364
complex.0_16_8_corrected_H_0001_1r8o,0.8417991469561845
