pdb_file,interface_flatness
relaxed_2d5r_model_1_corrected_H_0001_2d5r,0.9921588254921588
relaxed_2d5r_model_10_corrected_H_0001_2d5r,0.9944944944944945
relaxed_2d5r_model_100_corrected_H_0001_2d5r,0.9874874874874876
relaxed_2d5r_model_101_corrected_H_0001_2d5r,0.9934934934934936
relaxed_2d5r_model_102_corrected_H_0001_2d5r,0.9878211544878212
relaxed_2d5r_model_103_corrected_H_0001_2d5r,0.9931598264931598
relaxed_2d5r_model_104_corrected_H_0001_2d5r,0.9956623289956624
relaxed_2d5r_model_105_corrected_H_0001_2d5r,0.9913246579913246
relaxed_2d5r_model_106_corrected_H_0001_2d5r,0.992992992992993
relaxed_2d5r_model_107_corrected_H_0001_2d5r,0.9886553219886554
relaxed_2d5r_model_108_corrected_H_0001_2d5r,0.983983983983984
relaxed_2d5r_model_109_corrected_H_0001_2d5r,0.988988988988989
relaxed_2d5r_model_11_corrected_H_0001_2d5r,0.9881548214881548
relaxed_2d5r_model_110_corrected_H_0001_2d5r,0.9846513179846512
relaxed_2d5r_model_111_corrected_H_0001_2d5r,0.9908241574908242
relaxed_2d5r_model_112_corrected_H_0001_2d5r,0.9926593259926594
relaxed_2d5r_model_113_corrected_H_0001_2d5r,0.9878211544878212
relaxed_2d5r_model_114_corrected_H_0001_2d5r,0.9864864864864864
relaxed_2d5r_model_115_corrected_H_0001_2d5r,0.9868201534868202
relaxed_2d5r_model_116_corrected_H_0001_2d5r,0.9934934934934936
relaxed_2d5r_model_117_corrected_H_0001_2d5r,0.9906573239906572
relaxed_2d5r_model_118_corrected_H_0001_2d5r,0.9881548214881548
relaxed_2d5r_model_119_corrected_H_0001_2d5r,0.9861528194861529
relaxed_2d5r_model_12_corrected_H_0001_2d5r,0.9786453119786452
relaxed_2d5r_model_120_corrected_H_0001_2d5r,0.986986986986987
relaxed_2d5r_model_121_corrected_H_0001_2d5r,0.9884884884884884
relaxed_2d5r_model_122_corrected_H_0001_2d5r,0.9918251584918252
relaxed_2d5r_model_123_corrected_H_0001_2d5r,0.993993993993994
relaxed_2d5r_model_124_corrected_H_0001_2d5r,0.9863196529863196
relaxed_2d5r_model_125_corrected_H_0001_2d5r,0.9916583249916584
relaxed_2d5r_model_126_corrected_H_0001_2d5r,0.9878211544878212
relaxed_2d5r_model_127_corrected_H_0001_2d5r,0.9846513179846512
relaxed_2d5r_model_128_corrected_H_0001_2d5r,0.9928261594928262
relaxed_2d5r_model_129_corrected_H_0001_2d5r,0.982982982982983
relaxed_2d5r_model_13_corrected_H_0001_2d5r,0.988988988988989
relaxed_2d5r_model_130_corrected_H_0001_2d5r,0.9883216549883216
relaxed_2d5r_model_131_corrected_H_0001_2d5r,0.9856523189856524
relaxed_2d5r_model_132_corrected_H_0001_2d5r,0.9844844844844844
relaxed_2d5r_model_133_corrected_H_0001_2d5r,0.9893226559893228
relaxed_2d5r_model_134_corrected_H_0001_2d5r,0.9851518184851518
relaxed_2d5r_model_135_corrected_H_0001_2d5r,0.9863196529863196
relaxed_2d5r_model_136_corrected_H_0001_2d5r,0.9833166499833168
relaxed_2d5r_model_137_corrected_H_0001_2d5r,0.9928261594928262
relaxed_2d5r_model_138_corrected_H_0001_2d5r,0.9824824824824824
relaxed_2d5r_model_139_corrected_H_0001_2d5r,0.9883216549883216
relaxed_2d5r_model_14_corrected_H_0001_2d5r,0.9993326659993328
relaxed_2d5r_model_140_corrected_H_0001_2d5r,0.9946613279946612
relaxed_2d5r_model_141_corrected_H_0001_2d5r,0.9856523189856524
