pdb_file,interface_flatness
relaxed_3k9p_model_1_corrected_H_0001_3k9p,0.996300578034682
relaxed_3k9p_model_10_corrected_H_0001_3k9p,0.993757225433526
relaxed_3k9p_model_100_corrected_H_0001_3k9p,0.9972254335260116
relaxed_3k9p_model_101_corrected_H_0001_3k9p,0.9956069364161848
relaxed_3k9p_model_102_corrected_H_0001_3k9p,0.9951445086705202
relaxed_3k9p_model_103_corrected_H_0001_3k9p,0.9953757225433526
relaxed_3k9p_model_104_corrected_H_0001_3k9p,0.9995375722543351
relaxed_3k9p_model_105_corrected_H_0001_3k9p,0.993757225433526
relaxed_3k9p_model_106_corrected_H_0001_3k9p,0.9932947976878612
relaxed_3k9p_model_107_corrected_H_0001_3k9p,0.9773410404624278
relaxed_3k9p_model_108_corrected_H_0001_3k9p,0.9965317919075144
relaxed_3k9p_model_109_corrected_H_0001_3k9p,0.975028901734104
relaxed_3k9p_model_11_corrected_H_0001_3k9p,0.9939884393063584
relaxed_3k9p_model_110_corrected_H_0001_3k9p,0.9905202312138728
relaxed_3k9p_model_111_corrected_H_0001_3k9p,0.9951445086705202
relaxed_3k9p_model_112_corrected_H_0001_3k9p,0.996300578034682
relaxed_3k9p_model_113_corrected_H_0001_3k9p,0.9821965317919076
relaxed_3k9p_model_114_corrected_H_0001_3k9p,0.9928323699421964
relaxed_3k9p_model_115_corrected_H_0001_3k9p,0.9960693641618495
relaxed_3k9p_model_116_corrected_H_0001_3k9p,0.9942196531791908
relaxed_3k9p_model_117_corrected_H_0001_3k9p,0.9879768786127168
relaxed_3k9p_model_118_corrected_H_0001_3k9p,0.9958381502890172
relaxed_3k9p_model_119_corrected_H_0001_3k9p,0.9969942196531792
relaxed_3k9p_model_12_corrected_H_0001_3k9p,0.996300578034682
relaxed_3k9p_model_120_corrected_H_0001_3k9p,0.9932947976878612
relaxed_3k9p_model_121_corrected_H_0001_3k9p,0.9935260115606936
relaxed_3k9p_model_122_corrected_H_0001_3k9p,0.9944508670520232
relaxed_3k9p_model_123_corrected_H_0001_3k9p,0.9942196531791908
relaxed_3k9p_model_124_corrected_H_0001_3k9p,0.9960693641618495
relaxed_3k9p_model_125_corrected_H_0001_3k9p,0.9960693641618495
relaxed_3k9p_model_126_corrected_H_0001_3k9p,0.9958381502890172
relaxed_3k9p_model_127_corrected_H_0001_3k9p,0.9840462427745664
relaxed_3k9p_model_128_corrected_H_0001_3k9p,0.9935260115606936
relaxed_3k9p_model_129_corrected_H_0001_3k9p,0.9944508670520232
relaxed_3k9p_model_13_corrected_H_0001_3k9p,0.9976878612716764
relaxed_3k9p_model_130_corrected_H_0001_3k9p,0.9930635838150288
relaxed_3k9p_model_131_corrected_H_0001_3k9p,0.9958381502890172
relaxed_3k9p_model_132_corrected_H_0001_3k9p,0.9979190751445086
relaxed_3k9p_model_133_corrected_H_0001_3k9p,0.9953757225433526
relaxed_3k9p_model_134_corrected_H_0001_3k9p,0.9965317919075144
relaxed_3k9p_model_135_corrected_H_0001_3k9p,0.9932947976878612
relaxed_3k9p_model_136_corrected_H_0001_3k9p,0.9944508670520232
relaxed_3k9p_model_137_corrected_H_0001_3k9p,0.993757225433526
relaxed_3k9p_model_138_corrected_H_0001_3k9p,0.9558381502890172
relaxed_3k9p_model_139_corrected_H_0001_3k9p,0.9939884393063584
relaxed_3k9p_model_14_corrected_H_0001_3k9p,0.9898265895953756
relaxed_3k9p_model_140_corrected_H_0001_3k9p,0.9928323699421964
relaxed_3k9p_model_141_corrected_H_0001_3k9p,0.9932947976878612
relaxed_3k9p_model_142_corrected_H_0001_3k9p,0.9946820809248554
relaxed_3k9p_model_143_corrected_H_0001_3k9p,0.9939884393063584
relaxed_3k9p_model_144_corrected_H_0001_3k9p,0.9895953757225432
relaxed_3k9p_model_145_corrected_H_0001_3k9p,0.994913294797688
relaxed_3k9p_model_146_corrected_H_0001_3k9p,0.9697109826589596
relaxed_3k9p_model_147_corrected_H_0001_3k9p,0.971329479768786
relaxed_3k9p_model_148_corrected_H_0001_3k9p,0.9956069364161848
relaxed_3k9p_model_149_corrected_H_0001_3k9p,0.9902890173410404
relaxed_3k9p_model_15_corrected_H_0001_3k9p,0.9967630057803468
relaxed_3k9p_model_150_corrected_H_0001_3k9p,0.9734104046242774
relaxed_3k9p_model_151_corrected_H_0001_3k9p,0.9951445086705202
relaxed_3k9p_model_152_corrected_H_0001_3k9p,0.9946820809248554
relaxed_3k9p_model_153_corrected_H_0001_3k9p,0.9932947976878612
relaxed_3k9p_model_154_corrected_H_0001_3k9p,0.9956069364161848
relaxed_3k9p_model_155_corrected_H_0001_3k9p,0.9972254335260116
relaxed_3k9p_model_156_corrected_H_0001_3k9p,0.9972254335260116
relaxed_3k9p_model_157_corrected_H_0001_3k9p,0.9928323699421964
relaxed_3k9p_model_158_corrected_H_0001_3k9p,0.9958381502890172
relaxed_3k9p_model_159_corrected_H_0001_3k9p,0.9953757225433526
relaxed_3k9p_model_16_corrected_H_0001_3k9p,0.9960693641618495
