pdb_file,interface_flatness
sampled_1c3a_model_1_1c3a,0.9877630934899656
sampled_1c3a_model_10_1c3a,0.9618208516886932
sampled_1c3a_model_100_1c3a,0.9503181595692608
sampled_1c3a_model_101_1c3a,0.9180127263827704
sampled_1c3a_model_102_1c3a,0.9591287322564856
sampled_1c3a_model_103_1c3a,0.9317180616740088
sampled_1c3a_model_104_1c3a,0.991185112634672
sampled_1c3a_model_105_1c3a,0.9554576603034752
sampled_1c3a_model_106_1c3a,0.9862946647087616
sampled_1c3a_model_107_1c3a,0.954233969652472
sampled_1c3a_model_108_1c3a,0.9630445423396964
sampled_1c3a_model_109_1c3a,0.9730788056779246
sampled_1c3a_model_11_1c3a,0.9831130690161528
sampled_1c3a_model_110_1c3a,0.9216837983357808
sampled_1c3a_model_111_1c3a,0.930739109153206
sampled_1c3a_model_112_1c3a,0.9620655898188938
sampled_1c3a_model_113_1c3a,0.9402838962310328
sampled_1c3a_model_114_1c3a,0.9615761135584924
sampled_1c3a_model_115_1c3a,0.9672050905531082
sampled_1c3a_model_116_1c3a,0.9630445423396964
sampled_1c3a_model_117_1c3a,0.9402838962310328
sampled_1c3a_model_118_1c3a,0.9353891336270193
sampled_1c3a_model_119_1c3a,0.955702398433676
sampled_1c3a_model_12_1c3a,0.9769946157611356
sampled_1c3a_model_120_1c3a,0.9356338717572198
sampled_1c3a_model_121_1c3a,0.940773372491434
sampled_1c3a_model_122_1c3a,0.9539892315222712
sampled_1c3a_model_123_1c3a,0.9831047992164544
sampled_1c3a_model_124_1c3a,0.9341654429760156
sampled_1c3a_model_125_1c3a,0.9515181194906954
sampled_1c3a_model_126_1c3a,0.933920704845815
sampled_1c3a_model_127_1c3a,0.9701419481155164
sampled_1c3a_model_128_1c3a,0.9512971120900636
sampled_1c3a_model_129_1c3a,0.9684287812041116
sampled_1c3a_model_13_1c3a,0.9882525697503672
sampled_1c3a_model_130_1c3a,0.937102300538424
sampled_1c3a_model_131_1c3a,0.9672050905531082
