pdb_file,interface_flatness
complex.0_0_33_corrected_H_0001_5mu7,0.9600755965036616
complex.0_0_41_corrected_H_0001_5mu7,0.9901960784313726
complex.0_0_44_corrected_H_0001_5mu7,0.991141034727144
complex.0_10_26_corrected_H_0001_5mu7,0.9364516891093788
complex.0_10_30_corrected_H_0001_5mu7,0.9201511930073234
complex.0_10_8_corrected_H_0001_5mu7,0.9141270966217812
complex.0_10_9_corrected_H_0001_5mu7,0.9326718639262934
complex.0_11_21_corrected_H_0001_5mu7,0.8951098511693835
complex.0_11_22_corrected_H_0001_5mu7,0.9078667611622964
complex.0_11_25_corrected_H_0001_5mu7,0.9362154500354358
complex.0_11_29_corrected_H_0001_5mu7,0.9181431608788092
complex.0_11_38_corrected_H_0001_5mu7,0.9138908575478384
complex.0_11_45_corrected_H_0001_5mu7,0.9314906685565792
complex.0_11_5_corrected_H_0001_5mu7,0.923694779116466
complex.0_12_12_corrected_H_0001_5mu7,0.9029057406094968
complex.0_12_18_corrected_H_0001_5mu7,0.9296007559650368
complex.0_12_1_corrected_H_0001_5mu7,0.9312544294826364
complex.0_12_3_corrected_H_0001_5mu7,0.9097566737538388
complex.0_13_33_corrected_H_0001_5mu7,0.9235766595794944
complex.0_13_43_corrected_H_0001_5mu7,0.916017009213324
complex.0_13_49_corrected_H_0001_5mu7,0.928892038743208
complex.0_13_4_corrected_H_0001_5mu7,0.9227498228206944
complex.0_13_6_corrected_H_0001_5mu7,0.909520434679896
complex.0_14_22_corrected_H_0001_5mu7,0.9378691235530356
complex.0_14_41_corrected_H_0001_5mu7,0.9296007559650368
complex.0_14_45_corrected_H_0001_5mu7,0.9299551145759508
complex.0_14_9_corrected_H_0001_5mu7,0.9117647058823528
complex.0_15_0_corrected_H_0001_5mu7,0.9312544294826364
complex.0_15_1_corrected_H_0001_5mu7,0.9120009449562958
complex.0_15_44_corrected_H_0001_5mu7,0.92404913772738
complex.0_15_45_corrected_H_0001_5mu7,0.9148358138436096
complex.0_16_11_corrected_H_0001_5mu7,0.9254665721710372
complex.0_16_34_corrected_H_0001_5mu7,0.9249940940231516
complex.0_17_15_corrected_H_0001_5mu7,0.922867942357666
complex.0_17_19_corrected_H_0001_5mu7,0.9312544294826364
complex.0_17_7_corrected_H_0001_5mu7,0.929718875502008
complex.0_18_4_corrected_H_0001_5mu7,0.9239310181904088
complex.0_1_0_corrected_H_0001_5mu7,0.957595086227262
complex.0_1_11_corrected_H_0001_5mu7,0.9670446491849752
complex.0_1_12_corrected_H_0001_5mu7,0.9781478856602882
complex.0_1_28_corrected_H_0001_5mu7,0.9900779588944012
complex.0_1_30_corrected_H_0001_5mu7,0.9767304512166312
complex.0_1_36_corrected_H_0001_5mu7,0.93822348216395
complex.0_1_42_corrected_H_0001_5mu7,0.9580675643751476
complex.0_1_46_corrected_H_0001_5mu7,0.9440113394755492
complex.0_2_25_corrected_H_0001_5mu7,0.9613749114103473
complex.0_2_28_corrected_H_0001_5mu7,0.9356248523505788
complex.0_2_33_corrected_H_0001_5mu7,0.9512166312308056
complex.0_2_35_corrected_H_0001_5mu7,0.9650366170564612
complex.0_2_45_corrected_H_0001_5mu7,0.963619182612804
complex.0_2_48_corrected_H_0001_5mu7,0.9077486416253248
complex.0_3_11_corrected_H_0001_5mu7,0.9620836286321758
complex.0_3_19_corrected_H_0001_5mu7,0.9683439640916608
complex.0_3_26_corrected_H_0001_5mu7,0.96326482400189
complex.0_3_30_corrected_H_0001_5mu7,0.9440113394755492
complex.0_4_18_corrected_H_0001_5mu7,0.9330262225372076
complex.0_4_48_corrected_H_0001_5mu7,0.951925348452634
complex.0_4_49_corrected_H_0001_5mu7,0.9461374911410348
complex.0_4_8_corrected_H_0001_5mu7,0.931726907630522
complex.0_5_0_corrected_H_0001_5mu7,0.9212142688400662
complex.0_5_14_corrected_H_0001_5mu7,0.9412945901252068
complex.0_5_16_corrected_H_0001_5mu7,0.9275927238365226
complex.0_5_17_corrected_H_0001_5mu7,0.919206236711552
complex.0_5_33_corrected_H_0001_5mu7,0.939404677533664
complex.0_5_34_corrected_H_0001_5mu7,0.9077486416253248
complex.0_6_44_corrected_H_0001_5mu7,0.9449562957713206
complex.0_6_45_corrected_H_0001_5mu7,0.961256791873376
complex.0_6_48_corrected_H_0001_5mu7,0.9343255374438932
complex.0_6_6_corrected_H_0001_5mu7,0.9183793999527522
complex.0_6_7_corrected_H_0001_5mu7,0.9043231750531536
complex.0_7_12_corrected_H_0001_5mu7,0.9355067328136074
complex.0_7_14_corrected_H_0001_5mu7,0.951334750767777
complex.0_7_19_corrected_H_0001_5mu7,0.9366879281833216
