pdb,spearman_correlation
T30,0.4042621569535046
T32,0.6435383074916181
T35,0.5415261721896915
T37,0.7119116950517251
T39,0.3633258864921864
T41,0.7483766800528386
T46,0.7742626720507501
T47,0.710807107064181
T50,0.587670960687572
T53,0.6240514173073046
T54,0.6700902209493363
