pdb_file,interface_rsm
relaxed_3k9p_model_1_corrected_H_0001_3k9p,0.0733675747251819
relaxed_3k9p_model_10_corrected_H_0001_3k9p,0.0592219713406637
relaxed_3k9p_model_100_corrected_H_0001_3k9p,0.0315319234969106
relaxed_3k9p_model_101_corrected_H_0001_3k9p,0.051314514190847
relaxed_3k9p_model_102_corrected_H_0001_3k9p,0.0688382211832605
relaxed_3k9p_model_103_corrected_H_0001_3k9p,0.0468405868916747
relaxed_3k9p_model_104_corrected_H_0001_3k9p,0.0429050423141927
relaxed_3k9p_model_105_corrected_H_0001_3k9p,0.0688464179020102
relaxed_3k9p_model_106_corrected_H_0001_3k9p,0.0530795859535892
relaxed_3k9p_model_107_corrected_H_0001_3k9p,0.0624346902250001
relaxed_3k9p_model_108_corrected_H_0001_3k9p,0.0588204403968467
relaxed_3k9p_model_109_corrected_H_0001_3k9p,0.0480934363172335
relaxed_3k9p_model_11_corrected_H_0001_3k9p,0.0505198830543055
relaxed_3k9p_model_110_corrected_H_0001_3k9p,0.0643155233374744
relaxed_3k9p_model_111_corrected_H_0001_3k9p,0.0610302708790956
relaxed_3k9p_model_112_corrected_H_0001_3k9p,0.0442412911352899
relaxed_3k9p_model_113_corrected_H_0001_3k9p,0.0470719954812242
relaxed_3k9p_model_114_corrected_H_0001_3k9p,0.0662771011293917
relaxed_3k9p_model_115_corrected_H_0001_3k9p,0.0506727001719344
relaxed_3k9p_model_116_corrected_H_0001_3k9p,0.056040910631855
relaxed_3k9p_model_117_corrected_H_0001_3k9p,0.0776357139335502
relaxed_3k9p_model_118_corrected_H_0001_3k9p,0.0652200155998001
relaxed_3k9p_model_119_corrected_H_0001_3k9p,0.0454443157854754
relaxed_3k9p_model_12_corrected_H_0001_3k9p,0.0479699118368831
relaxed_3k9p_model_120_corrected_H_0001_3k9p,0.0512943062030871
relaxed_3k9p_model_121_corrected_H_0001_3k9p,0.0561209816048831
relaxed_3k9p_model_122_corrected_H_0001_3k9p,0.0555998882449845
relaxed_3k9p_model_123_corrected_H_0001_3k9p,0.0602225644966173
relaxed_3k9p_model_124_corrected_H_0001_3k9p,0.0455122953007574
relaxed_3k9p_model_125_corrected_H_0001_3k9p,0.0543224484528408
relaxed_3k9p_model_126_corrected_H_0001_3k9p,0.0509679266106626
relaxed_3k9p_model_127_corrected_H_0001_3k9p,0.0718367950441708
relaxed_3k9p_model_128_corrected_H_0001_3k9p,0.0499033083407494
relaxed_3k9p_model_129_corrected_H_0001_3k9p,0.0428148685267541
relaxed_3k9p_model_13_corrected_H_0001_3k9p,0.0572872899342673
relaxed_3k9p_model_130_corrected_H_0001_3k9p,0.0545206312027484
relaxed_3k9p_model_131_corrected_H_0001_3k9p,0.0538535109983834
relaxed_3k9p_model_132_corrected_H_0001_3k9p,0.0441829871448712
relaxed_3k9p_model_133_corrected_H_0001_3k9p,0.0427889444820739
relaxed_3k9p_model_134_corrected_H_0001_3k9p,0.048148052615473
relaxed_3k9p_model_135_corrected_H_0001_3k9p,0.0534547632927762
relaxed_3k9p_model_136_corrected_H_0001_3k9p,0.0457898522538002
relaxed_3k9p_model_137_corrected_H_0001_3k9p,0.0572596839282396
relaxed_3k9p_model_138_corrected_H_0001_3k9p,0.082785183595641
relaxed_3k9p_model_139_corrected_H_0001_3k9p,0.0546317103374986
