pdb_file,interface_rsm
complex.0_0_10_corrected_H_0001_4g6t,0.1022860072169589
complex.0_0_11_corrected_H_0001_4g6t,0.0565974107001316
complex.0_0_21_corrected_H_0001_4g6t,0.1023035940749638
complex.0_0_22_corrected_H_0001_4g6t,0.0770197996298919
complex.0_0_37_corrected_H_0001_4g6t,0.0501247804707594
complex.0_0_48_corrected_H_0001_4g6t,0.1278439843272453
complex.0_0_49_corrected_H_0001_4g6t,0.0916292066106375
complex.0_10_17_corrected_H_0001_4g6t,0.2528194427741143
complex.0_10_1_corrected_H_0001_4g6t,0.2465534805514125
complex.0_11_10_corrected_H_0001_4g6t,0.2595040292889398
complex.0_11_21_corrected_H_0001_4g6t,0.2447555559692417
complex.0_11_26_corrected_H_0001_4g6t,0.2909975419909549
complex.0_11_31_corrected_H_0001_4g6t,0.2392262599141909
complex.0_11_41_corrected_H_0001_4g6t,0.2693332481158651
complex.0_12_28_corrected_H_0001_4g6t,0.2663326958206049
complex.0_12_29_corrected_H_0001_4g6t,0.2613711164507408
complex.0_12_33_corrected_H_0001_4g6t,0.2435917180261258
complex.0_12_38_corrected_H_0001_4g6t,0.269676351707071
complex.0_13_12_corrected_H_0001_4g6t,0.2746051036054983
complex.0_13_16_corrected_H_0001_4g6t,0.2740651698464926
complex.0_13_19_corrected_H_0001_4g6t,0.2584280842758154
complex.0_13_1_corrected_H_0001_4g6t,0.2728635534406488
complex.0_13_21_corrected_H_0001_4g6t,0.2669117612889071
complex.0_13_23_corrected_H_0001_4g6t,0.2513977546241118
complex.0_13_38_corrected_H_0001_4g6t,0.2717816226546424
complex.0_13_44_corrected_H_0001_4g6t,0.2667021887686945
complex.0_13_9_corrected_H_0001_4g6t,0.2729769339901092
complex.0_14_23_corrected_H_0001_4g6t,0.2687550180660021
complex.0_14_33_corrected_H_0001_4g6t,0.268879674726518
complex.0_14_49_corrected_H_0001_4g6t,0.2620397567476117
complex.0_14_8_corrected_H_0001_4g6t,0.2845396630058652
complex.0_15_18_corrected_H_0001_4g6t,0.2560547926250455
complex.0_15_22_corrected_H_0001_4g6t,0.2745807555126576
complex.0_15_26_corrected_H_0001_4g6t,0.2668042441946756
complex.0_15_33_corrected_H_0001_4g6t,0.2683795627198752
complex.0_15_35_corrected_H_0001_4g6t,0.2610478365995619
complex.0_15_8_corrected_H_0001_4g6t,0.2741083266970095
complex.0_16_18_corrected_H_0001_4g6t,0.2778240125722764
complex.0_16_20_corrected_H_0001_4g6t,0.2602906194673509
complex.0_16_21_corrected_H_0001_4g6t,0.2744505107764384
complex.0_16_32_corrected_H_0001_4g6t,0.2727038477458788
complex.0_16_41_corrected_H_0001_4g6t,0.2758209890039836
complex.0_16_42_corrected_H_0001_4g6t,0.2748902685173137
complex.0_16_43_corrected_H_0001_4g6t,0.2788413740906473
complex.0_17_15_corrected_H_0001_4g6t,0.2828899831030869
complex.0_17_4_corrected_H_0001_4g6t,0.2727776511079435
complex.0_17_8_corrected_H_0001_4g6t,0.2722305594738713
complex.0_18_11_corrected_H_0001_4g6t,0.2786459066306773
complex.0_18_8_corrected_H_0001_4g6t,0.2748606673802038
complex.0_1_23_corrected_H_0001_4g6t,0.1277561984965589
complex.0_1_2_corrected_H_0001_4g6t,0.1290831395166971
complex.0_1_45_corrected_H_0001_4g6t,0.1303936078576085
complex.0_1_9_corrected_H_0001_4g6t,0.0883959821130902
complex.0_2_11_corrected_H_0001_4g6t,0.1330181697962041
complex.0_2_14_corrected_H_0001_4g6t,0.1099300007715166
complex.0_2_16_corrected_H_0001_4g6t,0.1283847581698863
complex.0_2_19_corrected_H_0001_4g6t,0.1185575805725822
complex.0_2_21_corrected_H_0001_4g6t,0.1113765443598316
complex.0_2_22_corrected_H_0001_4g6t,0.1432217058262364
complex.0_2_29_corrected_H_0001_4g6t,0.117318847530762
complex.0_2_32_corrected_H_0001_4g6t,0.1240611463796262
complex.0_2_34_corrected_H_0001_4g6t,0.0838585086691028
complex.0_2_35_corrected_H_0001_4g6t,0.1202196257082832
complex.0_2_42_corrected_H_0001_4g6t,0.1343046055720866
complex.0_3_14_corrected_H_0001_4g6t,0.1705614311298847
complex.0_3_17_corrected_H_0001_4g6t,0.1679457215179187
complex.0_3_21_corrected_H_0001_4g6t,0.1464665567838919
complex.0_3_24_corrected_H_0001_4g6t,0.1786965855235912
complex.0_3_39_corrected_H_0001_4g6t,0.1517810517131319
complex.0_3_40_corrected_H_0001_4g6t,0.1518737742745536
complex.0_3_42_corrected_H_0001_4g6t,0.1602619075621216
complex.0_3_8_corrected_H_0001_4g6t,0.1464155906093618
complex.0_3_9_corrected_H_0001_4g6t,0.1695052520268099
complex.0_4_23_corrected_H_0001_4g6t,0.1416744341916074
complex.0_4_31_corrected_H_0001_4g6t,0.1515180433291361
complex.0_4_49_corrected_H_0001_4g6t,0.1706896674677864
complex.0_5_10_corrected_H_0001_4g6t,0.1515003640471486
complex.0_5_31_corrected_H_0001_4g6t,0.1514738940910668
complex.0_5_34_corrected_H_0001_4g6t,0.1559500749744192
complex.0_5_3_corrected_H_0001_4g6t,0.1518749907522024
complex.0_5_41_corrected_H_0001_4g6t,0.1892726996819079
complex.0_5_44_corrected_H_0001_4g6t,0.1553735000525161
complex.0_5_48_corrected_H_0001_4g6t,0.1585573863772394
complex.0_5_49_corrected_H_0001_4g6t,0.1450816987509883
complex.0_5_9_corrected_H_0001_4g6t,0.1648151606738863
complex.0_6_14_corrected_H_0001_4g6t,0.1981127969587854
complex.0_6_18_corrected_H_0001_4g6t,0.2128677326829107
complex.0_6_34_corrected_H_0001_4g6t,0.1761712564612634
complex.0_6_47_corrected_H_0001_4g6t,0.1755022901448377
complex.0_6_8_corrected_H_0001_4g6t,0.2173130161974793
complex.0_7_20_corrected_H_0001_4g6t,0.1997430252379712
complex.0_7_33_corrected_H_0001_4g6t,0.2052567903026307
complex.0_7_41_corrected_H_0001_4g6t,0.2013122158097809
complex.0_8_11_corrected_H_0001_4g6t,0.1997296465595536
complex.0_8_14_corrected_H_0001_4g6t,0.2097366363236721
complex.0_8_15_corrected_H_0001_4g6t,0.2395125705992685
complex.0_8_16_corrected_H_0001_4g6t,0.2040756265225366
complex.0_8_25_corrected_H_0001_4g6t,0.2136223343019632
complex.0_8_29_corrected_H_0001_4g6t,0.2269590020869665
complex.0_8_37_corrected_H_0001_4g6t,0.1836212001069941
complex.0_8_39_corrected_H_0001_4g6t,0.2113656592483426
complex.0_8_46_corrected_H_0001_4g6t,0.2082227301482442
complex.0_9_19_corrected_H_0001_4g6t,0.2208164827297049
complex.0_9_26_corrected_H_0001_4g6t,0.1924100192826862
complex.0_9_31_corrected_H_0001_4g6t,0.23990674636469
complex.0_9_3_corrected_H_0001_4g6t,0.2339232433023741
complex.0_9_48_corrected_H_0001_4g6t,0.2211276161523556
complex.1_0_0_corrected_H_0001_4g6t,0.0580092068859948
complex.1_0_12_corrected_H_0001_4g6t,0.0558651952368844
complex.1_0_20_corrected_H_0001_4g6t,0.0885358203403469
complex.1_0_39_corrected_H_0001_4g6t,0.0970312814878428
complex.1_0_6_corrected_H_0001_4g6t,0.0611881275284267
complex.1_10_10_corrected_H_0001_4g6t,0.2389879400687586
complex.1_10_12_corrected_H_0001_4g6t,0.2416067544821336
complex.1_10_24_corrected_H_0001_4g6t,0.2619016595001897
complex.1_10_28_corrected_H_0001_4g6t,0.2334955492213447
complex.1_10_2_corrected_H_0001_4g6t,0.2348603072048571
complex.1_10_33_corrected_H_0001_4g6t,0.2279869564975046
complex.1_10_38_corrected_H_0001_4g6t,0.26035714099917
complex.1_11_20_corrected_H_0001_4g6t,0.2516608675144188
complex.1_11_25_corrected_H_0001_4g6t,0.2501346604708999
complex.1_11_28_corrected_H_0001_4g6t,0.2310941254602281
complex.1_11_30_corrected_H_0001_4g6t,0.2389444502805972
complex.1_11_35_corrected_H_0001_4g6t,0.2395835069435742
complex.1_11_36_corrected_H_0001_4g6t,0.2305418257262789
complex.1_11_47_corrected_H_0001_4g6t,0.2603894392149214
complex.1_11_48_corrected_H_0001_4g6t,0.2607914233455317
complex.1_12_16_corrected_H_0001_4g6t,0.2578240876228261
complex.1_12_17_corrected_H_0001_4g6t,0.230463929227916
complex.1_12_18_corrected_H_0001_4g6t,0.2491564712367396
complex.1_12_25_corrected_H_0001_4g6t,0.285408812391513
complex.1_12_35_corrected_H_0001_4g6t,0.2472891740384402
complex.1_12_41_corrected_H_0001_4g6t,0.2483968306251232
complex.1_12_46_corrected_H_0001_4g6t,0.2525285799082257
complex.1_12_48_corrected_H_0001_4g6t,0.2629141547897435
complex.1_13_11_corrected_H_0001_4g6t,0.2628503388724487
complex.1_13_25_corrected_H_0001_4g6t,0.2624014512444376
complex.1_13_28_corrected_H_0001_4g6t,0.276348756202819
complex.1_13_3_corrected_H_0001_4g6t,0.2801405101971114
complex.1_14_12_corrected_H_0001_4g6t,0.2709515796580214
complex.1_14_16_corrected_H_0001_4g6t,0.2653770208688145
complex.1_14_20_corrected_H_0001_4g6t,0.2737324426265003
complex.1_14_21_corrected_H_0001_4g6t,0.2748944586883448
complex.1_14_43_corrected_H_0001_4g6t,0.2539303491655619
complex.1_14_47_corrected_H_0001_4g6t,0.2754870445951109
complex.1_15_0_corrected_H_0001_4g6t,0.2626427575110394
complex.1_15_12_corrected_H_0001_4g6t,0.2727122292150617
complex.1_15_17_corrected_H_0001_4g6t,0.2714187037327217
complex.1_15_32_corrected_H_0001_4g6t,0.268107250452624
complex.1_15_43_corrected_H_0001_4g6t,0.2733942801293896
complex.1_15_45_corrected_H_0001_4g6t,0.2719497044145875
complex.1_15_49_corrected_H_0001_4g6t,0.2843722437165321
complex.1_16_26_corrected_H_0001_4g6t,0.2759513883735448
complex.1_16_33_corrected_H_0001_4g6t,0.2715424572792955
complex.1_16_7_corrected_H_0001_4g6t,0.279755069659908
complex.1_17_19_corrected_H_0001_4g6t,0.2846211124589867
complex.1_17_21_corrected_H_0001_4g6t,0.2797844945547738
complex.1_17_25_corrected_H_0001_4g6t,0.2665617696928682
complex.1_18_19_corrected_H_0001_4g6t,0.2785086909040861
complex.1_18_6_corrected_H_0001_4g6t,0.2649051538112379
complex.1_19_0_corrected_H_0001_4g6t,0.2782549672979694
complex.1_1_16_corrected_H_0001_4g6t,0.1731363238636671
complex.1_1_19_corrected_H_0001_4g6t,0.0735006386838167
complex.1_1_35_corrected_H_0001_4g6t,0.1176837770165951
complex.1_1_38_corrected_H_0001_4g6t,0.1458246280246683
complex.1_1_8_corrected_H_0001_4g6t,0.1213460728940563
complex.1_2_18_corrected_H_0001_4g6t,0.1308186689859765
complex.1_2_24_corrected_H_0001_4g6t,0.1505248637091508
complex.1_2_26_corrected_H_0001_4g6t,0.0914351210626611
complex.1_2_40_corrected_H_0001_4g6t,0.1282729103153002
complex.1_2_43_corrected_H_0001_4g6t,0.1257956932483973
complex.1_2_45_corrected_H_0001_4g6t,0.1376294346029549
complex.1_3_19_corrected_H_0001_4g6t,0.1679452094734901
complex.1_3_23_corrected_H_0001_4g6t,0.1718148080748073
complex.1_3_35_corrected_H_0001_4g6t,0.1312146460637073
complex.1_3_44_corrected_H_0001_4g6t,0.1501364881291621
complex.1_4_0_corrected_H_0001_4g6t,0.1646210161493801
complex.1_4_10_corrected_H_0001_4g6t,0.1804279058530742
complex.1_4_14_corrected_H_0001_4g6t,0.159840198329906
complex.1_4_27_corrected_H_0001_4g6t,0.1548827321305309
complex.1_4_28_corrected_H_0001_4g6t,0.1367785692999313
complex.1_4_29_corrected_H_0001_4g6t,0.1687065667516586
complex.1_4_2_corrected_H_0001_4g6t,0.1424169652811476
complex.1_4_6_corrected_H_0001_4g6t,0.1767885088278733
