pdb_file,interface_rsm
complex.0_0_0_corrected_H_0001_8enf,0.0697976998373642
complex.0_0_10_corrected_H_0001_8enf,0.0611244851382273
complex.0_0_28_corrected_H_0001_8enf,0.0862208548610715
complex.0_0_31_corrected_H_0001_8enf,0.0734396987206575
complex.0_0_38_corrected_H_0001_8enf,0.1978551729428327
complex.0_0_8_corrected_H_0001_8enf,0.087228572465368
complex.0_10_41_corrected_H_0001_8enf,0.20089767042297
complex.0_10_47_corrected_H_0001_8enf,0.1880360567595994
complex.0_10_8_corrected_H_0001_8enf,0.1938335430267071
complex.0_11_11_corrected_H_0001_8enf,0.2062318968451236
complex.0_11_15_corrected_H_0001_8enf,0.2040455191896405
complex.0_11_19_corrected_H_0001_8enf,0.1893143382974396
complex.0_11_39_corrected_H_0001_8enf,0.1921487453194779
complex.0_11_7_corrected_H_0001_8enf,0.2095865260432811
complex.0_12_30_corrected_H_0001_8enf,0.2162209750254002
complex.0_12_33_corrected_H_0001_8enf,0.2088363962806859
complex.0_12_3_corrected_H_0001_8enf,0.1949234394596706
complex.0_12_46_corrected_H_0001_8enf,0.2011404234846007
complex.0_13_16_corrected_H_0001_8enf,0.2056246957272668
complex.0_13_29_corrected_H_0001_8enf,0.1964035083888737
complex.0_13_32_corrected_H_0001_8enf,0.1953710954806151
complex.0_13_34_corrected_H_0001_8enf,0.1912602701743733
complex.0_14_11_corrected_H_0001_8enf,0.2108491733448224
complex.0_14_12_corrected_H_0001_8enf,0.2062323160606351
complex.0_14_17_corrected_H_0001_8enf,0.2026812508713177
complex.0_14_1_corrected_H_0001_8enf,0.1954151099096857
complex.0_14_21_corrected_H_0001_8enf,0.2078519158475886
complex.0_14_35_corrected_H_0001_8enf,0.2188770861785471
complex.0_14_45_corrected_H_0001_8enf,0.2016420550705118
complex.0_15_15_corrected_H_0001_8enf,0.2182515424559044
complex.0_15_35_corrected_H_0001_8enf,0.2105353901157897
complex.0_16_13_corrected_H_0001_8enf,0.2055276709046127
complex.0_16_16_corrected_H_0001_8enf,0.2104548576348681
complex.0_16_19_corrected_H_0001_8enf,0.2123467618786385
complex.0_16_24_corrected_H_0001_8enf,0.2138066967808362
complex.0_16_2_corrected_H_0001_8enf,0.2052362713573993
complex.0_17_12_corrected_H_0001_8enf,0.1943051699979703
complex.0_17_21_corrected_H_0001_8enf,0.2066800433607678
complex.0_17_23_corrected_H_0001_8enf,0.2082896955990664
complex.0_17_24_corrected_H_0001_8enf,0.2175504005763249
complex.0_17_33_corrected_H_0001_8enf,0.2068245683124336
complex.0_17_7_corrected_H_0001_8enf,0.2218469558959119
complex.0_1_10_corrected_H_0001_8enf,0.1334566199176767
complex.0_1_22_corrected_H_0001_8enf,0.1091336896079479
complex.0_1_49_corrected_H_0001_8enf,0.0702357764507743
complex.0_1_7_corrected_H_0001_8enf,0.0736332994346677
complex.0_2_28_corrected_H_0001_8enf,0.1395224111373566
complex.0_2_29_corrected_H_0001_8enf,0.1022069566193373
complex.0_2_37_corrected_H_0001_8enf,0.1151218274963086
complex.0_2_8_corrected_H_0001_8enf,0.108578775211885
complex.0_3_0_corrected_H_0001_8enf,0.0872738107414581
complex.0_3_34_corrected_H_0001_8enf,0.1116637699521093
complex.0_4_0_corrected_H_0001_8enf,0.1526604102402785
complex.0_4_13_corrected_H_0001_8enf,0.1580138550588982
complex.0_4_22_corrected_H_0001_8enf,0.1269550720573267
complex.0_4_39_corrected_H_0001_8enf,0.1395061504123005
complex.0_4_40_corrected_H_0001_8enf,0.1380854993347751
complex.0_4_43_corrected_H_0001_8enf,0.121825292516838
complex.0_6_19_corrected_H_0001_8enf,0.1625575750634878
complex.0_6_30_corrected_H_0001_8enf,0.1592139406376844
complex.0_6_38_corrected_H_0001_8enf,0.1393979501462636
complex.0_6_3_corrected_H_0001_8enf,0.1282899289137427
complex.0_6_48_corrected_H_0001_8enf,0.1452019081649565
complex.0_7_18_corrected_H_0001_8enf,0.1623425068574426
complex.0_7_46_corrected_H_0001_8enf,0.1664481565350266
complex.0_7_6_corrected_H_0001_8enf,0.1490444335354644
complex.0_8_10_corrected_H_0001_8enf,0.1518018029739752
complex.0_8_12_corrected_H_0001_8enf,0.1577628415175601
complex.0_8_20_corrected_H_0001_8enf,0.1944632942514302
complex.0_8_35_corrected_H_0001_8enf,0.1917824457917676
complex.0_8_43_corrected_H_0001_8enf,0.1899229202376671
complex.0_8_46_corrected_H_0001_8enf,0.1700212702649818
complex.0_8_4_corrected_H_0001_8enf,0.1279776210808972
complex.0_9_15_corrected_H_0001_8enf,0.1826262096885233
complex.0_9_41_corrected_H_0001_8enf,0.1794656597726089
complex.0_9_4_corrected_H_0001_8enf,0.1775328797939946
complex.0_9_6_corrected_H_0001_8enf,0.1746902886474181
complex.1_0_26_corrected_H_0001_8enf,0.1071741029331831
complex.1_0_45_corrected_H_0001_8enf,0.0608641397623584
complex.1_10_11_corrected_H_0001_8enf,0.1707390718789566
complex.1_10_19_corrected_H_0001_8enf,0.1935666425388207
complex.1_10_23_corrected_H_0001_8enf,0.1886212174715226
complex.1_10_26_corrected_H_0001_8enf,0.1516218834331497
complex.1_10_28_corrected_H_0001_8enf,0.1916432438012599
complex.1_10_29_corrected_H_0001_8enf,0.1886606961780425
complex.1_10_40_corrected_H_0001_8enf,0.2017341060792105
complex.1_11_0_corrected_H_0001_8enf,0.2064928136142526
complex.1_11_18_corrected_H_0001_8enf,0.1842125740631769
complex.1_11_33_corrected_H_0001_8enf,0.2051954741117455
complex.1_11_3_corrected_H_0001_8enf,0.1847961520820686
complex.1_11_49_corrected_H_0001_8enf,0.2012698704808009
complex.1_12_16_corrected_H_0001_8enf,0.2037591491852821
complex.1_12_17_corrected_H_0001_8enf,0.2094200275999345
