pdb_file,interface_rsm
relaxed_2d5r_model_1_corrected_H_0001_2d5r,0.0530339401436736
relaxed_2d5r_model_10_corrected_H_0001_2d5r,0.0498530231990888
relaxed_2d5r_model_100_corrected_H_0001_2d5r,0.0662710430753485
relaxed_2d5r_model_101_corrected_H_0001_2d5r,0.0585833864721927
relaxed_2d5r_model_102_corrected_H_0001_2d5r,0.0544768971960215
relaxed_2d5r_model_103_corrected_H_0001_2d5r,0.0546157231525369
relaxed_2d5r_model_104_corrected_H_0001_2d5r,0.0360007810965313
relaxed_2d5r_model_105_corrected_H_0001_2d5r,0.0604469074387341
relaxed_2d5r_model_106_corrected_H_0001_2d5r,0.0488402046146546
relaxed_2d5r_model_107_corrected_H_0001_2d5r,0.0535698668516896
relaxed_2d5r_model_108_corrected_H_0001_2d5r,0.0801669828841243
relaxed_2d5r_model_109_corrected_H_0001_2d5r,0.0520916700843144
relaxed_2d5r_model_11_corrected_H_0001_2d5r,0.0561570798510149
relaxed_2d5r_model_110_corrected_H_0001_2d5r,0.0684203076960452
relaxed_2d5r_model_111_corrected_H_0001_2d5r,0.0547371858113882
relaxed_2d5r_model_112_corrected_H_0001_2d5r,0.052162469317778
relaxed_2d5r_model_113_corrected_H_0001_2d5r,0.0570520256564947
relaxed_2d5r_model_114_corrected_H_0001_2d5r,0.0607453104955629
relaxed_2d5r_model_115_corrected_H_0001_2d5r,0.0674903071120291
relaxed_2d5r_model_116_corrected_H_0001_2d5r,0.0534351992995706
relaxed_2d5r_model_117_corrected_H_0001_2d5r,0.0676700596558246
relaxed_2d5r_model_118_corrected_H_0001_2d5r,0.0622199373605146
relaxed_2d5r_model_119_corrected_H_0001_2d5r,0.0777162309809449
relaxed_2d5r_model_12_corrected_H_0001_2d5r,0.1063859185215047
relaxed_2d5r_model_120_corrected_H_0001_2d5r,0.0569004895121377
relaxed_2d5r_model_121_corrected_H_0001_2d5r,0.0645162280280027
relaxed_2d5r_model_122_corrected_H_0001_2d5r,0.0504191559077516
relaxed_2d5r_model_123_corrected_H_0001_2d5r,0.0545572073597502
relaxed_2d5r_model_124_corrected_H_0001_2d5r,0.0714140808553894
relaxed_2d5r_model_125_corrected_H_0001_2d5r,0.0567436674236607
relaxed_2d5r_model_126_corrected_H_0001_2d5r,0.0567557483881154
relaxed_2d5r_model_127_corrected_H_0001_2d5r,0.0639369189081182
relaxed_2d5r_model_128_corrected_H_0001_2d5r,0.0504141234958713
relaxed_2d5r_model_129_corrected_H_0001_2d5r,0.0792076217585997
relaxed_2d5r_model_13_corrected_H_0001_2d5r,0.0894843622185551
relaxed_2d5r_model_130_corrected_H_0001_2d5r,0.0570978070075997
relaxed_2d5r_model_131_corrected_H_0001_2d5r,0.064638815159524
relaxed_2d5r_model_132_corrected_H_0001_2d5r,0.0613817114715333
relaxed_2d5r_model_133_corrected_H_0001_2d5r,0.0570274393387197
relaxed_2d5r_model_134_corrected_H_0001_2d5r,0.0827366037327347
relaxed_2d5r_model_135_corrected_H_0001_2d5r,0.0591462477294808
relaxed_2d5r_model_136_corrected_H_0001_2d5r,0.0761664126264821
relaxed_2d5r_model_137_corrected_H_0001_2d5r,0.0457405683260272
relaxed_2d5r_model_138_corrected_H_0001_2d5r,0.121070475514171
relaxed_2d5r_model_139_corrected_H_0001_2d5r,0.059598775977543
relaxed_2d5r_model_14_corrected_H_0001_2d5r,0.036252924873052
relaxed_2d5r_model_140_corrected_H_0001_2d5r,0.0467890968849141
relaxed_2d5r_model_141_corrected_H_0001_2d5r,0.0723375379984541
relaxed_2d5r_model_142_corrected_H_0001_2d5r,0.0764755111574563
relaxed_2d5r_model_143_corrected_H_0001_2d5r,0.0754343868257289
relaxed_2d5r_model_144_corrected_H_0001_2d5r,0.0760921076684766
relaxed_2d5r_model_145_corrected_H_0001_2d5r,0.0573525058213939
relaxed_2d5r_model_146_corrected_H_0001_2d5r,0.0589321269611181
relaxed_2d5r_model_147_corrected_H_0001_2d5r,0.0867030822059282
relaxed_2d5r_model_148_corrected_H_0001_2d5r,0.0578498859106928
relaxed_2d5r_model_149_corrected_H_0001_2d5r,0.059145064811264
relaxed_2d5r_model_15_corrected_H_0001_2d5r,0.0514000171789206
relaxed_2d5r_model_150_corrected_H_0001_2d5r,0.049980239912774
relaxed_2d5r_model_151_corrected_H_0001_2d5r,0.0435364940990109
relaxed_2d5r_model_152_corrected_H_0001_2d5r,0.0596474007115562
relaxed_2d5r_model_153_corrected_H_0001_2d5r,0.0576374076790478
relaxed_2d5r_model_154_corrected_H_0001_2d5r,0.0536296859539941
relaxed_2d5r_model_155_corrected_H_0001_2d5r,0.0554021532079049
relaxed_2d5r_model_156_corrected_H_0001_2d5r,0.058339303279599
relaxed_2d5r_model_157_corrected_H_0001_2d5r,0.1043782618130936
relaxed_2d5r_model_158_corrected_H_0001_2d5r,0.0977912334983222
