pdb_file,patch_alignment_score,chain_patch_consistency_score,avg_patch_score
complex.0_0_11_corrected_H_0001_4bi8,1.30718954248366,1.3192612137203166,1.3192612137203166
complex.0_0_14_corrected_H_0001_4bi8,1.30718954248366,1.1842105263157896,1.25
complex.0_0_36_corrected_H_0001_4bi8,1.30718954248366,1.1889035667107,1.2549537648612945
complex.0_0_37_corrected_H_0001_4bi8,0.7843137254901961,0.6578947368421052,0.6140350877192982
complex.0_0_38_corrected_H_0001_4bi8,0.9150326797385622,0.9210526315789472,0.9210526315789472
complex.0_0_3_corrected_H_0001_4bi8,0.6535947712418301,0.5263157894736842,0.5701754385964912
complex.0_0_5_corrected_H_0001_4bi8,0.9150326797385622,0.7905138339920948,0.8563899868247694
complex.0_10_0_corrected_H_0001_4bi8,1.568627450980392,1.5810276679841897,1.5810276679841897
complex.0_10_22_corrected_H_0001_4bi8,2.091503267973856,2.1080368906455864,2.1080368906455864
complex.0_10_2_corrected_H_0001_4bi8,1.30718954248366,1.3157894736842104,1.3157894736842104
complex.0_10_30_corrected_H_0001_4bi8,2.091503267973856,2.1080368906455864,2.1080368906455864
complex.0_10_38_corrected_H_0001_4bi8,1.568627450980392,1.5852047556142668,1.5852047556142668
complex.0_10_49_corrected_H_0001_4bi8,1.1764705882352942,1.185770750988142,1.185770750988142
complex.0_11_0_corrected_H_0001_4bi8,1.96078431372549,1.9762845849802373,1.9762845849802373
complex.0_11_31_corrected_H_0001_4bi8,2.3529411764705883,2.2397891963109355,2.30566534914361
complex.0_11_35_corrected_H_0001_4bi8,2.7450980392156863,2.763157894736842,2.763157894736842
complex.0_11_3_corrected_H_0001_4bi8,2.6143790849673203,2.631578947368421,2.631578947368421
complex.0_11_45_corrected_H_0001_4bi8,2.3529411764705883,2.368421052631579,2.368421052631579
complex.0_11_8_corrected_H_0001_4bi8,2.2222222222222223,2.236842105263158,2.236842105263158
complex.0_12_16_corrected_H_0001_4bi8,2.2222222222222223,2.2397891963109355,2.2397891963109355
complex.0_12_26_corrected_H_0001_4bi8,2.4836601307189543,2.5065963060686016,2.5065963060686016
complex.0_12_31_corrected_H_0001_4bi8,2.2222222222222223,2.2397891963109355,2.2397891963109355
complex.0_12_32_corrected_H_0001_4bi8,2.091503267973856,2.1052631578947367,2.1052631578947367
complex.0_12_8_corrected_H_0001_4bi8,2.7450980392156863,2.7704485488126647,2.7704485488126647
complex.0_13_34_corrected_H_0001_4bi8,1.437908496732026,1.4492753623188406,1.4492753623188406
complex.0_13_43_corrected_H_0001_4bi8,1.96078431372549,1.973684210526316,1.973684210526316
complex.0_13_47_corrected_H_0001_4bi8,2.2222222222222223,2.1080368906455864,2.1739130434782608
